01/01/2016,203
02/01/2016,213
03/01/2016,245
04/01/2016,245
05/01/2016,218
06/01/2016,218
07/01/2016,253
08/01/2016,223
09/01/2016,249
10/01/2016,231
11/01/2016,255
12/01/2016,236
13/01/2016,246
14/01/2016,238
15/01/2016,229
16/01/2016,233
17/01/2016,261
18/01/2016,266
19/01/2016,226
20/01/2016,247
21/01/2016,234
22/01/2016,235
23/01/2016,229
24/01/2016,245
25/01/2016,281
26/01/2016,256
27/01/2016,288
28/01/2016,284
29/01/2016,248
30/01/2016,238
31/01/2016,233
01/02/2016,213
02/02/2016,230
03/02/2016,250
04/02/2016,284
05/02/2016,253
06/02/2016,215
07/02/2016,184
08/02/2016,246
09/02/2016,230
10/02/2016,222
11/02/2016,222
12/02/2016,241
13/02/2016,203
14/02/2016,211
15/02/2016,240
16/02/2016,209
17/02/2016,217
18/02/2016,225
19/02/2016,233
20/02/2016,212
21/02/2016,195
22/02/2016,228
23/02/2016,208
24/02/2016,204
25/02/2016,204
26/02/2016,211
27/02/2016,216
28/02/2016,202
29/02/2016,197
01/03/2016,185
02/03/2016,224
03/03/2016,200
04/03/2016,191
05/03/2016,187
06/03/2016,175
07/03/2016,224
08/03/2016,87
09/03/2016,177
10/03/2016,226
11/03/2016,206
12/03/2016,169
13/03/2016,184
14/03/2016,197
15/03/2016,216
16/03/2016,217
17/03/2016,190
18/03/2016,222
19/03/2016,210
20/03/2016,172
21/03/2016,225
22/03/2016,227
23/03/2016,194
24/03/2016,225
25/03/2016,221
26/03/2016,192
27/03/2016,171
28/03/2016,208
29/03/2016,208
30/03/2016,211
31/03/2016,210
01/04/2016,224
02/04/2016,171
03/04/2016,187
04/04/2016,217
05/04/2016,197
06/04/2016,190
07/04/2016,193
08/04/2016,215
09/04/2016,201
10/04/2016,191
11/04/2016,204
12/04/2016,192
13/04/2016,193
14/04/2016,216
15/04/2016,210
16/04/2016,171
17/04/2016,173
18/04/2016,210
19/04/2016,189
20/04/2016,213
21/04/2016,197
22/04/2016,199
23/04/2016,160
24/04/2016,194
25/04/2016,196
26/04/2016,196
27/04/2016,168
28/04/2016,173
29/04/2016,168
30/04/2016,184
01/05/2016,155
02/05/2016,196
03/05/2016,207
04/05/2016,198
05/05/2016,182
06/05/2016,188
07/05/2016,69
08/05/2016,163
09/05/2016,186
10/05/2016,224
11/05/2016,166
12/05/2016,215
13/05/2016,231
14/05/2016,204
15/05/2016,185
16/05/2016,195
17/05/2016,196
